2026-01-15 23:06:41,584 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=4.7781
2026-01-15 23:06:41,584 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3880
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=1.4813
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3737
2026-01-15 23:06:41,585 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=2.3682
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
