2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=12.9309
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3630
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=10.8901
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3845
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=79.6280
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,108 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,109 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=79.3212
2026-01-15 23:04:33,109 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,109 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:04:33,109 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:04:33,344 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0139
2026-01-15 23:04:33,344 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0006
2026-01-15 23:04:33,344 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0006
2026-01-15 23:04:33,344 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,345 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0018
2026-01-15 23:04:33,345 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0003
2026-01-15 23:04:33,345 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0003
2026-01-15 23:04:33,345 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0047
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0006
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0006
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0009
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0002
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0002
2026-01-15 23:04:33,345 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.5722
2026-01-15 23:04:33,346 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.3017
2026-01-15 23:04:33,346 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,346 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0005
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0007
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0007
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0016
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0003
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0003
